"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:10 UTC 2021","72","specs","jetpack-boost","modules-common.test.js","","","The critical-css module state should toggle to an inverse state","
### Test
```typescript
() => test(...params);

```
"
"skipped","Tue Oct 19 12:59:29 UTC 2021","Tue Oct 19 12:59:29 UTC 2021","7","specs","","homepage.test.js","","","should be ready","
### Test
```typescript
async () => {
  const metaTag = await page.$$(
    ""//meta[@name='jetpack-boost-ready' and @content='true']""
  );

  expect(metaTag.length).toBeGreaterThan(0);
};

```
"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:10 UTC 2021","75","specs","jetpack-boost","modules-common.test.js","","","The lazy-images module should be enabled by default","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:11 UTC 2021","43","specs","jetpack-boost","modules-common.test.js","","","The render-blocking-js module state should toggle to an inverse state","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:48 UTC 2021","Tue Oct 19 12:59:48 UTC 2021","76","specs","jetpack-boost","speed-score.test.js","","","should display a mobile and desktop speed score greater than zero","
### Test
```typescript
async () => {
  await expect(await jetpackBoostPage.getSpeedScore(""mobile"")).toBeGreaterThan(
    0
  );
  await expect(await jetpackBoostPage.getSpeedScore(""desktop"")).toBeGreaterThan(
    0
  );
};

```
"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:10 UTC 2021","30","specs","jetpack-boost","modules-common.test.js","","","The render-blocking-js module should be disabled by default","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:29 UTC 2021","Tue Oct 19 12:59:29 UTC 2021","31","specs","","homepage.test.js","","","should include the jetpack boost meta tag(s)","
### Test
```typescript
async () => {
  const metaTag = await page.$$(""//meta[@name='jetpack-boost-ready']"");

  expect(metaTag.length).toBeGreaterThan(0);
};

```
"
"broken","Tue Oct 19 12:59:11 UTC 2021","Tue Oct 19 12:59:11 UTC 2021","63","specs","jetpack-boost","modules-common.test.js","","","The render-blocking-js module state should revert back to original state","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:10 UTC 2021","128","specs","jetpack-boost","modules-common.test.js","","","The critical-css module should be disabled by default","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:10 UTC 2021","Tue Oct 19 12:59:10 UTC 2021","45","specs","jetpack-boost","modules-common.test.js","","","The lazy-images module state should toggle to an inverse state","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:11 UTC 2021","Tue Oct 19 12:59:11 UTC 2021","42","specs","jetpack-boost","modules-common.test.js","","","The lazy-images module state should revert back to original state","
### Test
```typescript
() => test(...params);

```
"
"broken","Tue Oct 19 12:59:29 UTC 2021","Tue Oct 19 12:59:29 UTC 2021","69","specs","","homepage.test.js","","","should display ""HelloWord"" text on page","
### Test
```typescript
async () => {
  await expect(page).toHaveText(""h1"", ""HelloWord"");
};

```
"
"broken","Tue Oct 19 12:59:11 UTC 2021","Tue Oct 19 12:59:11 UTC 2021","37","specs","jetpack-boost","modules-common.test.js","","","The critical-css module state should revert back to original state","
### Test
```typescript
() => test(...params);

```
"
